301-AH	Продуктите на Нестле
302-AH	Бойкоти на потребителите
303-AH	Италиански картини
304-AH	Места на световното наследство
305-AH	Цените на нефта
306-AH	Дейността на ЕТА във Франция
307-AH	Филми, чието действие се развива в Шотландия
308-AH	Слънчеви затъмнения
309-AH	&quot;Твърди&quot; наркотици
310-AH	Обработката на индустриалните отпадъци
311-AH	Безработицата в Европа
312-AH	Нападения от кучета
313-AH	Чествания на 100-годишнини
314-AH	Застрашени видове
315-AH	Допингът в спорта
316-AH	Стачки
317-AH	Лекарства срещу рака
318-AH	Половото възпитание
319-AH	Глобалното производство на опиум
320-AH	Енергийни кризи
321-AH	Талибаните в Афганистан
322-AH	Атомната енергия
323-AH	Затягане на визовия режим
324-AH	Супермодели
325-AH	Студентски такси
326-AH	Международните награди &quot;Еми&quot;
327-AH	Земетресения в град Мексико
328-AH	Иракските кюрди и Турция
329-AH	Последствията при развод между Чарлз и Даяна
330-AH	Филми с Киану Рийвс
331-AH	Икономическата политика на Зедило
333-AH	Процесът на Пол Тувие
334-AH	Избирането на Джордж У. Буш
335-AH	Работническата партия след Джон Смит
336-AH	Работни конфликти в НБА
337-AH	Гражданската война в Йемен
338-AH	Екстрадирането и процесът на Карлос
339-AH	Син Файн и англо-ирландската декларация
340-AH	Новият премиер на Квебек
341-AH	Кражбата на &quot;Писъка&quot;
342-AH	&quot;Четири сватби и едно погребение&quot;
343-AH	Южноафриканската национална партия
344-AH	Бразилия срещу Швеция на полуфиналите за Световната купа
345-AH	Каране на ски през пресечена местност на Олимпийските игри през 1994 година
346-AH	Победителите на &quot;Големия шлем&quot;
347-AH	Оскар за най-добър филм за 1994 година
348-AH	Убийството на Ян Пиа
349-AH	Смъртта на Никсън
350-AH	Смъртта на Аертон Сена
