0	I am looking for stories about Iranian female athletes who seek asylum in other countries. Iranian female athletes refugees
2	I'm looking for articles detailing how climate change is affecting Russia whether environmentally, economically, human health or national security. How climate change affects Russia
3	I am looking for stories about the people who were brought to criminal justice in the melamine scandal in China. The melamine scandal in China
4	I am looking for reports on officials convicted of corruption in the construction of the Russian Space launch Complex at Vostochny in the Far East. Corruption during construction of Vostochny Cosmodrome
5	I am looking for reports on whether the star Betelgeuse going supernova will present a threat to the Earth. Danger of Betelgeuse going supernova
6	I am looking for information on large, sudden, and dramatic increases in butterfly populations in Europe, including the Caucasus. Dramatic surges in butterfly populations
7	I am looking for information on taking bicycles on local or long-distance trains. Bicycles on trains
8	I am looking for stories in media of China on Joe Biden's triumphs in the presidential election of the United States. Media report in China on Biden's election of the president
9	Did online learning during the COVID-19 pandemic result in an increase of depression among elementary school children? The effect of pandemic online learning on children
10	I am looking for articles about how the sanctions placed on Russia have impacted the agricultural sector. Sanctions impact Russian agriculture
11	I am looking for report on China's official attitudes toward the U.S. withdrawal from the Paris Climate Accords. China's attitudes toward the U.S. withdrawal from the Paris Climate Accords
12	I'm looking for articles about how Chinas economy could withstand the coronavirus COVID-19 pandemic. China's economy under the Coronavirus
13	I am looking for stories about intellectual property disputes Tesla encountered in China. Intellectual property disputes Tesla encountered in China
14	"I am looking for Iranian reactions and news related to the Israeli-made series ""Tehran"". Israeli series ""Tehran"" "
16	I am looking for articles on the dramatic decrease in the number of bees and beehives. Dramatic decrease in number of bees
17	I am looking for stories about the impact of the Chengdu Research Base of Giant Panda Breeding on local tourism. The impact of Chengdu Research Base of Giant Panda Breeding on local tourism
18	I am interested in finding information about the situation of myopia among K12 students in China. The situation of myopia rate among K12 students in China
19	I am interested in finding information about cases of formaldehyde related pollution in household products in China. Cases of formaldehyde related pollution in household products
20	I am interested in finding out if AIDS patients are discriminated against in China. Are AIDS patients discriminated against in China
21	I am looking for information on sanctions-related issues concerning the export of titanium from Russia to the U.S. Sanctions on export of titanium from Russia to U.S.
22	I am looking for information on COVID vaccinations for children in Russia. COVID vaccinations for children in Russia
23	I am looking for articles concerning the black hole in the center of the galaxy M87. Black hole in M87
24	I am looking for articles on the growth of wind energy in Russia. Wind energy in Russia
25	China attempt to capture 5G market in Russia should worry Kremlin. Russian dependance on Chinese 5G equipment
26	I am looking for articles that reflect Russia's attitude towards Ukrainian Presidential Candidate Volodymyr Zelenskiy. Ukrainian Presidential Candidate Zelenskiy
27	I am interested in finding out which species are endangered due to the water pollution in the Yangtze River and the river basin. What species are endangered in the Yangtze due to pollution
28	Looking for articles detailing evidence in order identify the 2.5 thousand year old mummy known as the Ukok Princess. Identifying the Ukok Princess
29	I am interested in finding information about the construction of sponge city projects in China. China's sponge city projects
30	I seek articles that explain how the refugee crisis could be dividing Europe. Refugee crisis divides Europe
31	I am looking for articles of Teflon use that may pose potential health risks. Use of Teflon as potential health risk
32	I'm looking for articles on treatment or method to reduce peanut allergic reaction. Peanut allergy treatment
33	How has climate change affected Iran's current weather patterns? The effects of climate change on Iran's current weather
34	I am looking for information on shamanism in Siberia. Shamanism in Siberia
35	I am looking for information on the on-going drought in the southwestern United States. Drought in southwestern U.S.
36	I am looking for articles on the size of the Siberian tiger population. Size of Siberian tiger population
37	Looking for articles on why the Arctic is warming faster than other regions of Earth. Arctic warming
38	I am interested in finding out the impact of the trade war between the US and China on China's export to the US. The impact of the trade war between the US and China on China's export to the US
39	I am looking for the connection between bitcoin mining by the Chinese and power outages in Iran. The connection between the extraction of bitcoin cryptocurrencies by the Chinese and power outages in Iran
