hpclab_pi_algA    	0.0000	0	udelRun2A         	0.1750	7	-0.1750
hpclab_pi_algA    	0.0000	0	udelRun1A         	0.2583	13	-0.2583
hpclab_pi_algA    	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA3        	0.2000	5	-0.2000
hpclab_pi_algA    	0.0000	0	prnaTaskA2        	0.2667	9	-0.2667
hpclab_pi_algA    	0.0000	0	prnaTaskA1        	0.2417	10	-0.2417
hpclab_pi_algA    	0.0000	0	umd_hcil_run02    	0.0000	19	0.0000
hpclab_pi_algA    	0.0000	0	udelRun3A         	0.2608	24	-0.2608
UWaterlooATEK     	0.2215	6	hpclab_pi_algA    	0.0000	0	0.2215
UWaterlooATEK     	0.2215	6	UWaterlooATNDEK   	0.2139	9	0.0076
UWaterlooATEK     	0.2215	6	udelRun2A         	0.1750	7	0.0465
UWaterlooATEK     	0.2215	6	udelRun1A         	0.2583	13	-0.0368
UWaterlooATEK     	0.2215	6	umd_hcil_run01    	0.0000	0	0.2215
UWaterlooATEK     	0.2215	6	prnaTaskA3        	0.2000	5	0.0215
UWaterlooATEK     	0.2215	6	prnaTaskA2        	0.2667	9	-0.0452
UWaterlooATEK     	0.2215	6	prnaTaskA1        	0.2417	10	-0.0202
UWaterlooATEK     	0.2215	6	umd_hcil_run02    	0.0000	19	0.2215
UWaterlooATEK     	0.2215	6	udelRun3A         	0.2608	24	-0.0393
UWaterlooATNDEK   	0.2139	9	hpclab_pi_algA    	0.0000	0	0.2139
UWaterlooATNDEK   	0.2139	9	udelRun2A         	0.1750	7	0.0389
UWaterlooATNDEK   	0.2139	9	udelRun1A         	0.2583	13	-0.0444
UWaterlooATNDEK   	0.2139	9	umd_hcil_run01    	0.0000	0	0.2139
UWaterlooATNDEK   	0.2139	9	prnaTaskA3        	0.2000	5	0.0139
UWaterlooATNDEK   	0.2139	9	prnaTaskA2        	0.2667	9	-0.0528
UWaterlooATNDEK   	0.2139	9	prnaTaskA1        	0.2417	10	-0.0278
UWaterlooATNDEK   	0.2139	9	umd_hcil_run02    	0.0000	19	0.2139
UWaterlooATNDEK   	0.2139	9	udelRun3A         	0.2608	24	-0.0469
udelRun2A         	0.1750	7	umd_hcil_run01    	0.0000	0	0.1750
udelRun2A         	0.1750	7	umd_hcil_run02    	0.0000	19	0.1750
udelRun2A         	0.1750	7	udelRun3A         	0.2608	24	-0.0858
udelRun1A         	0.2583	13	udelRun2A         	0.1750	7	0.0833
udelRun1A         	0.2583	13	umd_hcil_run01    	0.0000	0	0.2583
udelRun1A         	0.2583	13	umd_hcil_run02    	0.0000	19	0.2583
udelRun1A         	0.2583	13	udelRun3A         	0.2608	24	-0.0025
MPII_HYBRID_PW    	0.1884	18	hpclab_pi_algA    	0.0000	0	0.1884
MPII_HYBRID_PW    	0.1884	18	UWaterlooATEK     	0.2215	6	-0.0331
MPII_HYBRID_PW    	0.1884	18	UWaterlooATNDEK   	0.2139	9	-0.0255
MPII_HYBRID_PW    	0.1884	18	udelRun2A         	0.1750	7	0.0134
MPII_HYBRID_PW    	0.1884	18	udelRun1A         	0.2583	13	-0.0699
MPII_HYBRID_PW    	0.1884	18	umd_hcil_run01    	0.0000	0	0.1884
MPII_HYBRID_PW    	0.1884	18	prnaTaskA3        	0.2000	5	-0.0116
MPII_HYBRID_PW    	0.1884	18	prnaTaskA2        	0.2667	9	-0.0783
MPII_HYBRID_PW    	0.1884	18	prnaTaskA1        	0.2417	10	-0.0533
