hpclab_pi_algA    	0.4000	5	udelRun2A         	0.2000	20	0.2000
hpclab_pi_algA    	0.4000	5	udelRun1A         	0.1071	30	0.2929
hpclab_pi_algA    	0.4000	5	umd_hcil_run01    	0.4000	0	0.0000
hpclab_pi_algA    	0.4000	5	prnaTaskA3        	0.0050	67	0.3950
hpclab_pi_algA    	0.4000	5	prnaTaskA2        	0.0050	64	0.3950
hpclab_pi_algA    	0.4000	5	prnaTaskA1        	0.0000	76	0.4000
hpclab_pi_algA    	0.4000	5	umd_hcil_run02    	0.3000	4	0.1000
hpclab_pi_algA    	0.4000	5	udelRun3A         	0.2062	23	0.1938
UWaterlooATEK     	0.0187	30	hpclab_pi_algA    	0.4000	5	-0.3813
UWaterlooATEK     	0.0187	30	UWaterlooATNDEK   	0.0132	35	0.0055
UWaterlooATEK     	0.0187	30	udelRun2A         	0.2000	20	-0.1813
UWaterlooATEK     	0.0187	30	udelRun1A         	0.1071	30	-0.0884
UWaterlooATEK     	0.0187	30	umd_hcil_run01    	0.4000	0	-0.3813
UWaterlooATEK     	0.0187	30	prnaTaskA3        	0.0050	67	0.0137
UWaterlooATEK     	0.0187	30	prnaTaskA2        	0.0050	64	0.0137
UWaterlooATEK     	0.0187	30	prnaTaskA1        	0.0000	76	0.0187
UWaterlooATEK     	0.0187	30	umd_hcil_run02    	0.3000	4	-0.2813
UWaterlooATEK     	0.0187	30	udelRun3A         	0.2062	23	-0.1875
UWaterlooATNDEK   	0.0132	35	hpclab_pi_algA    	0.4000	5	-0.3868
UWaterlooATNDEK   	0.0132	35	udelRun2A         	0.2000	20	-0.1868
UWaterlooATNDEK   	0.0132	35	udelRun1A         	0.1071	30	-0.0939
UWaterlooATNDEK   	0.0132	35	umd_hcil_run01    	0.4000	0	-0.3868
UWaterlooATNDEK   	0.0132	35	prnaTaskA3        	0.0050	67	0.0082
UWaterlooATNDEK   	0.0132	35	prnaTaskA2        	0.0050	64	0.0082
UWaterlooATNDEK   	0.0132	35	prnaTaskA1        	0.0000	76	0.0132
UWaterlooATNDEK   	0.0132	35	umd_hcil_run02    	0.3000	4	-0.2868
UWaterlooATNDEK   	0.0132	35	udelRun3A         	0.2062	23	-0.1930
udelRun2A         	0.2000	20	umd_hcil_run01    	0.4000	0	-0.2000
udelRun2A         	0.2000	20	umd_hcil_run02    	0.3000	4	-0.1000
udelRun2A         	0.2000	20	udelRun3A         	0.2062	23	-0.0062
udelRun1A         	0.1071	30	udelRun2A         	0.2000	20	-0.0929
udelRun1A         	0.1071	30	umd_hcil_run01    	0.4000	0	-0.2929
udelRun1A         	0.1071	30	umd_hcil_run02    	0.3000	4	-0.1929
udelRun1A         	0.1071	30	udelRun3A         	0.2062	23	-0.0991
MPII_HYBRID_PW    	0.0109	39	hpclab_pi_algA    	0.4000	5	-0.3891
MPII_HYBRID_PW    	0.0109	39	UWaterlooATEK     	0.0187	30	-0.0078
MPII_HYBRID_PW    	0.0109	39	UWaterlooATNDEK   	0.0132	35	-0.0023
MPII_HYBRID_PW    	0.0109	39	udelRun2A         	0.2000	20	-0.1891
MPII_HYBRID_PW    	0.0109	39	udelRun1A         	0.1071	30	-0.0962
MPII_HYBRID_PW    	0.0109	39	umd_hcil_run01    	0.4000	0	-0.3891
MPII_HYBRID_PW    	0.0109	39	prnaTaskA3        	0.0050	67	0.0059
MPII_HYBRID_PW    	0.0109	39	prnaTaskA2        	0.0050	64	0.0059
MPII_HYBRID_PW    	0.0109	39	prnaTaskA1        	0.0000	76	0.0109
MPII_HYBRID_PW    	0.0109	39	SNACSA            	0.0593	67	-0.0484
MPII_HYBRID_PW    	0.0109	39	PKUICSTRunA3      	0.1250	26	-0.1141
MPII_HYBRID_PW    	0.0109	39	PKUICSTRunA2      	0.0175	74	-0.0066
MPII_HYBRID_PW    	0.0109	39	PKUICSTRunA1      	0.2500	11	-0.2391
MPII_HYBRID_PW    	0.0109	39	SNACS_LA          	0.4000	0	-0.3891
MPII_HYBRID_PW    	0.0109	39	UWaterlooATDK     	0.1000	18	-0.0891
MPII_HYBRID_PW    	0.0109	39	QUDynExp          	0.0000	41	0.0109
MPII_HYBRID_PW    	0.0109	39	QUDyn             	0.0000	60	0.0109
MPII_HYBRID_PW    	0.0109	39	UWCMBP1           	0.0667	44	-0.0558
MPII_HYBRID_PW    	0.0109	39	UWCMBP2           	0.0000	45	0.0109
MPII_HYBRID_PW    	0.0109	39	QUBaseline        	0.0000	43	0.0109
MPII_HYBRID_PW    	0.0109	39	umd_hcil_run02    	0.3000	4	-0.2891
MPII_HYBRID_PW    	0.0109	39	MPII_LUC_SORT     	0.0140	90	-0.0031
MPII_HYBRID_PW    	0.0109	39	udelRun3A         	0.2062	23	-0.1953
umd_hcil_run01    	0.4000	0	umd_hcil_run02    	0.3000	4	0.1000
ECNURUNA1         	0.4000	82	hpclab_pi_algA    	0.4000	5	0.0000
ECNURUNA1         	0.4000	82	UWaterlooATEK     	0.0187	30	0.3813
ECNURUNA1         	0.4000	82	UWaterlooATNDEK   	0.0132	35	0.3868
ECNURUNA1         	0.4000	82	udelRun2A         	0.2000	20	0.2000
ECNURUNA1         	0.4000	82	udelRun1A         	0.1071	30	0.2929
ECNURUNA1         	0.4000	82	MPII_HYBRID_PW    	0.0109	39	0.3891
ECNURUNA1         	0.4000	82	umd_hcil_run01    	0.4000	0	0.0000
ECNURUNA1         	0.4000	82	ECNURUNA2         	0.4000	81	0.0000
ECNURUNA1         	0.4000	82	ECNURUNA3         	0.4000	79	0.0000
ECNURUNA1         	0.4000	82	prnaTaskA3        	0.0050	67	0.3950
ECNURUNA1         	0.4000	82	prnaTaskA2        	0.0050	64	0.3950
ECNURUNA1         	0.4000	82	prnaTaskA1        	0.0000	76	0.4000
ECNURUNA1         	0.4000	82	SNACSA            	0.0593	67	0.3407
ECNURUNA1         	0.4000	82	PKUICSTRunA3      	0.1250	26	0.2750
ECNURUNA1         	0.4000	82	PKUICSTRunA2      	0.0175	74	0.3825
ECNURUNA1         	0.4000	82	PKUICSTRunA1      	0.2500	11	0.1500
ECNURUNA1         	0.4000	82	MPII_COMB_SORT    	0.0087	93	0.3913
ECNURUNA1         	0.4000	82	SNACS_LA          	0.4000	0	0.0000
ECNURUNA1         	0.4000	82	UWaterlooATDK     	0.1000	18	0.3000
ECNURUNA1         	0.4000	82	QUDynExp          	0.0000	41	0.4000
ECNURUNA1         	0.4000	82	IRIT-KLTFIDF      	0.0063	36	0.3937
ECNURUNA1         	0.4000	82	IritSigSDA        	0.0000	61	0.4000
ECNURUNA1         	0.4000	82	IRIT-RTNotif.33   	0.0000	100	0.4000
ECNURUNA1         	0.4000	82	QUDyn             	0.0000	60	0.4000
ECNURUNA1         	0.4000	82	UWCMBP1           	0.0667	44	0.3333
ECNURUNA1         	0.4000	82	UWCMBP2           	0.0000	45	0.4000
ECNURUNA1         	0.4000	82	QUBaseline        	0.0000	43	0.4000
ECNURUNA1         	0.4000	82	umd_hcil_run02    	0.3000	4	0.1000
ECNURUNA1         	0.4000	82	MPII_LUC_SORT     	0.0140	90	0.3860
ECNURUNA1         	0.4000	82	udelRun3A         	0.2062	23	0.1938
ECNURUNA2         	0.4000	81	hpclab_pi_algA    	0.4000	5	0.0000
ECNURUNA2         	0.4000	81	UWaterlooATEK     	0.0187	30	0.3813
ECNURUNA2         	0.4000	81	UWaterlooATNDEK   	0.0132	35	0.3868
ECNURUNA2         	0.4000	81	udelRun2A         	0.2000	20	0.2000
ECNURUNA2         	0.4000	81	udelRun1A         	0.1071	30	0.2929
ECNURUNA2         	0.4000	81	MPII_HYBRID_PW    	0.0109	39	0.3891
ECNURUNA2         	0.4000	81	umd_hcil_run01    	0.4000	0	0.0000
ECNURUNA2         	0.4000	81	ECNURUNA3         	0.4000	79	0.0000
ECNURUNA2         	0.4000	81	prnaTaskA3        	0.0050	67	0.3950
ECNURUNA2         	0.4000	81	prnaTaskA2        	0.0050	64	0.3950
ECNURUNA2         	0.4000	81	prnaTaskA1        	0.0000	76	0.4000
ECNURUNA2         	0.4000	81	SNACSA            	0.0593	67	0.3407
ECNURUNA2         	0.4000	81	PKUICSTRunA3      	0.1250	26	0.2750
ECNURUNA2         	0.4000	81	PKUICSTRunA2      	0.0175	74	0.3825
ECNURUNA2         	0.4000	81	PKUICSTRunA1      	0.2500	11	0.1500
ECNURUNA2         	0.4000	81	MPII_COMB_SORT    	0.0087	93	0.3913
ECNURUNA2         	0.4000	81	SNACS_LA          	0.4000	0	0.0000
ECNURUNA2         	0.4000	81	UWaterlooATDK     	0.1000	18	0.3000
ECNURUNA2         	0.4000	81	QUDynExp          	0.0000	41	0.4000
ECNURUNA2         	0.4000	81	IRIT-KLTFIDF      	0.0063	36	0.3937
ECNURUNA2         	0.4000	81	IritSigSDA        	0.0000	61	0.4000
ECNURUNA2         	0.4000	81	IRIT-RTNotif.33   	0.0000	100	0.4000
ECNURUNA2         	0.4000	81	QUDyn             	0.0000	60	0.4000
ECNURUNA2         	0.4000	81	UWCMBP1           	0.0667	44	0.3333
ECNURUNA2         	0.4000	81	UWCMBP2           	0.0000	45	0.4000
ECNURUNA2         	0.4000	81	QUBaseline        	0.0000	43	0.4000
ECNURUNA2         	0.4000	81	umd_hcil_run02    	0.3000	4	0.1000
ECNURUNA2         	0.4000	81	MPII_LUC_SORT     	0.0140	90	0.3860
ECNURUNA2         	0.4000	81	udelRun3A         	0.2062	23	0.1938
ECNURUNA3         	0.4000	79	hpclab_pi_algA    	0.4000	5	0.0000
ECNURUNA3         	0.4000	79	UWaterlooATEK     	0.0187	30	0.3813
ECNURUNA3         	0.4000	79	UWaterlooATNDEK   	0.0132	35	0.3868
ECNURUNA3         	0.4000	79	udelRun2A         	0.2000	20	0.2000
ECNURUNA3         	0.4000	79	udelRun1A         	0.1071	30	0.2929
ECNURUNA3         	0.4000	79	MPII_HYBRID_PW    	0.0109	39	0.3891
ECNURUNA3         	0.4000	79	umd_hcil_run01    	0.4000	0	0.0000
ECNURUNA3         	0.4000	79	prnaTaskA3        	0.0050	67	0.3950
ECNURUNA3         	0.4000	79	prnaTaskA2        	0.0050	64	0.3950
ECNURUNA3         	0.4000	79	prnaTaskA1        	0.0000	76	0.4000
ECNURUNA3         	0.4000	79	SNACSA            	0.0593	67	0.3407
ECNURUNA3         	0.4000	79	PKUICSTRunA3      	0.1250	26	0.2750
ECNURUNA3         	0.4000	79	PKUICSTRunA2      	0.0175	74	0.3825
ECNURUNA3         	0.4000	79	PKUICSTRunA1      	0.2500	11	0.1500
ECNURUNA3         	0.4000	79	MPII_COMB_SORT    	0.0087	93	0.3913
ECNURUNA3         	0.4000	79	SNACS_LA          	0.4000	0	0.0000
ECNURUNA3         	0.4000	79	UWaterlooATDK     	0.1000	18	0.3000
ECNURUNA3         	0.4000	79	QUDynExp          	0.0000	41	0.4000
ECNURUNA3         	0.4000	79	IRIT-KLTFIDF      	0.0063	36	0.3937
ECNURUNA3         	0.4000	79	IritSigSDA        	0.0000	61	0.4000
ECNURUNA3         	0.4000	79	IRIT-RTNotif.33   	0.0000	100	0.4000
ECNURUNA3         	0.4000	79	QUDyn             	0.0000	60	0.4000
ECNURUNA3         	0.4000	79	UWCMBP1           	0.0667	44	0.3333
ECNURUNA3         	0.4000	79	UWCMBP2           	0.0000	45	0.4000
ECNURUNA3         	0.4000	79	QUBaseline        	0.0000	43	0.4000
ECNURUNA3         	0.4000	79	umd_hcil_run02    	0.3000	4	0.1000
ECNURUNA3         	0.4000	79	MPII_LUC_SORT     	0.0140	90	0.3860
ECNURUNA3         	0.4000	79	udelRun3A         	0.2062	23	0.1938
prnaTaskA3        	0.0050	67	udelRun2A         	0.2000	20	-0.1950
prnaTaskA3        	0.0050	67	udelRun1A         	0.1071	30	-0.1021
prnaTaskA3        	0.0050	67	umd_hcil_run01    	0.4000	0	-0.3950
prnaTaskA3        	0.0050	67	umd_hcil_run02    	0.3000	4	-0.2950
prnaTaskA3        	0.0050	67	udelRun3A         	0.2062	23	-0.2012
prnaTaskA2        	0.0050	64	udelRun2A         	0.2000	20	-0.1950
prnaTaskA2        	0.0050	64	udelRun1A         	0.1071	30	-0.1021
prnaTaskA2        	0.0050	64	umd_hcil_run01    	0.4000	0	-0.3950
prnaTaskA2        	0.0050	64	prnaTaskA3        	0.0050	67	0.0000
prnaTaskA2        	0.0050	64	umd_hcil_run02    	0.3000	4	-0.2950
prnaTaskA2        	0.0050	64	udelRun3A         	0.2062	23	-0.2012
prnaTaskA1        	0.0000	76	udelRun2A         	0.2000	20	-0.2000
prnaTaskA1        	0.0000	76	udelRun1A         	0.1071	30	-0.1071
prnaTaskA1        	0.0000	76	umd_hcil_run01    	0.4000	0	-0.4000
prnaTaskA1        	0.0000	76	prnaTaskA3        	0.0050	67	-0.0050
prnaTaskA1        	0.0000	76	prnaTaskA2        	0.0050	64	-0.0050
prnaTaskA1        	0.0000	76	umd_hcil_run02    	0.3000	4	-0.3000
prnaTaskA1        	0.0000	76	udelRun3A         	0.2062	23	-0.2062
SNACSA            	0.0593	67	hpclab_pi_algA    	0.4000	5	-0.3407
SNACSA            	0.0593	67	UWaterlooATEK     	0.0187	30	0.0406
SNACSA            	0.0593	67	UWaterlooATNDEK   	0.0132	35	0.0461
SNACSA            	0.0593	67	udelRun2A         	0.2000	20	-0.1407
SNACSA            	0.0593	67	udelRun1A         	0.1071	30	-0.0478
SNACSA            	0.0593	67	umd_hcil_run01    	0.4000	0	-0.3407
SNACSA            	0.0593	67	prnaTaskA3        	0.0050	67	0.0543
SNACSA            	0.0593	67	prnaTaskA2        	0.0050	64	0.0543
SNACSA            	0.0593	67	prnaTaskA1        	0.0000	76	0.0593
SNACSA            	0.0593	67	SNACS_LA          	0.4000	0	-0.3407
SNACSA            	0.0593	67	UWaterlooATDK     	0.1000	18	-0.0407
SNACSA            	0.0593	67	UWCMBP1           	0.0667	44	-0.0074
SNACSA            	0.0593	67	UWCMBP2           	0.0000	45	0.0593
SNACSA            	0.0593	67	umd_hcil_run02    	0.3000	4	-0.2407
SNACSA            	0.0593	67	udelRun3A         	0.2062	23	-0.1469
PKUICSTRunA3      	0.1250	26	hpclab_pi_algA    	0.4000	5	-0.2750
PKUICSTRunA3      	0.1250	26	UWaterlooATEK     	0.0187	30	0.1063
PKUICSTRunA3      	0.1250	26	UWaterlooATNDEK   	0.0132	35	0.1118
PKUICSTRunA3      	0.1250	26	udelRun2A         	0.2000	20	-0.0750
PKUICSTRunA3      	0.1250	26	udelRun1A         	0.1071	30	0.0179
PKUICSTRunA3      	0.1250	26	umd_hcil_run01    	0.4000	0	-0.2750
PKUICSTRunA3      	0.1250	26	prnaTaskA3        	0.0050	67	0.1200
PKUICSTRunA3      	0.1250	26	prnaTaskA2        	0.0050	64	0.1200
PKUICSTRunA3      	0.1250	26	prnaTaskA1        	0.0000	76	0.1250
PKUICSTRunA3      	0.1250	26	SNACSA            	0.0593	67	0.0657
PKUICSTRunA3      	0.1250	26	SNACS_LA          	0.4000	0	-0.2750
PKUICSTRunA3      	0.1250	26	UWaterlooATDK     	0.1000	18	0.0250
PKUICSTRunA3      	0.1250	26	QUDynExp          	0.0000	41	0.1250
PKUICSTRunA3      	0.1250	26	QUDyn             	0.0000	60	0.1250
PKUICSTRunA3      	0.1250	26	UWCMBP1           	0.0667	44	0.0583
PKUICSTRunA3      	0.1250	26	UWCMBP2           	0.0000	45	0.1250
PKUICSTRunA3      	0.1250	26	QUBaseline        	0.0000	43	0.1250
PKUICSTRunA3      	0.1250	26	umd_hcil_run02    	0.3000	4	-0.1750
PKUICSTRunA3      	0.1250	26	udelRun3A         	0.2062	23	-0.0812
PKUICSTRunA2      	0.0175	74	hpclab_pi_algA    	0.4000	5	-0.3825
PKUICSTRunA2      	0.0175	74	UWaterlooATEK     	0.0187	30	-0.0012
PKUICSTRunA2      	0.0175	74	UWaterlooATNDEK   	0.0132	35	0.0043
PKUICSTRunA2      	0.0175	74	udelRun2A         	0.2000	20	-0.1825
PKUICSTRunA2      	0.0175	74	udelRun1A         	0.1071	30	-0.0896
PKUICSTRunA2      	0.0175	74	umd_hcil_run01    	0.4000	0	-0.3825
PKUICSTRunA2      	0.0175	74	prnaTaskA3        	0.0050	67	0.0125
PKUICSTRunA2      	0.0175	74	prnaTaskA2        	0.0050	64	0.0125
PKUICSTRunA2      	0.0175	74	prnaTaskA1        	0.0000	76	0.0175
PKUICSTRunA2      	0.0175	74	SNACSA            	0.0593	67	-0.0418
PKUICSTRunA2      	0.0175	74	PKUICSTRunA3      	0.1250	26	-0.1075
PKUICSTRunA2      	0.0175	74	SNACS_LA          	0.4000	0	-0.3825
PKUICSTRunA2      	0.0175	74	UWaterlooATDK     	0.1000	18	-0.0825
PKUICSTRunA2      	0.0175	74	QUDynExp          	0.0000	41	0.0175
PKUICSTRunA2      	0.0175	74	QUDyn             	0.0000	60	0.0175
PKUICSTRunA2      	0.0175	74	UWCMBP1           	0.0667	44	-0.0492
PKUICSTRunA2      	0.0175	74	UWCMBP2           	0.0000	45	0.0175
PKUICSTRunA2      	0.0175	74	QUBaseline        	0.0000	43	0.0175
PKUICSTRunA2      	0.0175	74	umd_hcil_run02    	0.3000	4	-0.2825
PKUICSTRunA2      	0.0175	74	udelRun3A         	0.2062	23	-0.1887
