hpclab_pi_algA    	0.1000	2	udelRun2A         	0.2261	36	-0.1261
hpclab_pi_algA    	0.1000	2	udelRun1A         	0.2561	56	-0.1561
hpclab_pi_algA    	0.1000	2	umd_hcil_run01    	0.1000	0	0.0000
hpclab_pi_algA    	0.1000	2	prnaTaskA3        	0.2100	5	-0.1100
hpclab_pi_algA    	0.1000	2	prnaTaskA2        	0.2343	8	-0.1343
hpclab_pi_algA    	0.1000	2	prnaTaskA1        	0.2543	15	-0.1543
hpclab_pi_algA    	0.1000	2	umd_hcil_run02    	0.1000	0	0.0000
hpclab_pi_algA    	0.1000	2	udelRun3A         	0.0875	27	0.0125
UWaterlooATEK     	0.0452	28	hpclab_pi_algA    	0.1000	2	-0.0548
UWaterlooATEK     	0.0452	28	UWaterlooATNDEK   	0.0452	32	0.0000
UWaterlooATEK     	0.0452	28	udelRun2A         	0.2261	36	-0.1809
UWaterlooATEK     	0.0452	28	udelRun1A         	0.2561	56	-0.2109
UWaterlooATEK     	0.0452	28	umd_hcil_run01    	0.1000	0	-0.0548
UWaterlooATEK     	0.0452	28	prnaTaskA3        	0.2100	5	-0.1648
UWaterlooATEK     	0.0452	28	prnaTaskA2        	0.2343	8	-0.1891
UWaterlooATEK     	0.0452	28	prnaTaskA1        	0.2543	15	-0.2091
UWaterlooATEK     	0.0452	28	umd_hcil_run02    	0.1000	0	-0.0548
UWaterlooATEK     	0.0452	28	udelRun3A         	0.0875	27	-0.0423
UWaterlooATNDEK   	0.0452	32	hpclab_pi_algA    	0.1000	2	-0.0548
UWaterlooATNDEK   	0.0452	32	udelRun2A         	0.2261	36	-0.1809
UWaterlooATNDEK   	0.0452	32	udelRun1A         	0.2561	56	-0.2109
UWaterlooATNDEK   	0.0452	32	umd_hcil_run01    	0.1000	0	-0.0548
UWaterlooATNDEK   	0.0452	32	prnaTaskA3        	0.2100	5	-0.1648
UWaterlooATNDEK   	0.0452	32	prnaTaskA2        	0.2343	8	-0.1891
UWaterlooATNDEK   	0.0452	32	prnaTaskA1        	0.2543	15	-0.2091
UWaterlooATNDEK   	0.0452	32	umd_hcil_run02    	0.1000	0	-0.0548
UWaterlooATNDEK   	0.0452	32	udelRun3A         	0.0875	27	-0.0423
udelRun2A         	0.2261	36	umd_hcil_run01    	0.1000	0	0.1261
udelRun2A         	0.2261	36	umd_hcil_run02    	0.1000	0	0.1261
udelRun2A         	0.2261	36	udelRun3A         	0.0875	27	0.1386
udelRun1A         	0.2561	56	udelRun2A         	0.2261	36	0.0300
udelRun1A         	0.2561	56	umd_hcil_run01    	0.1000	0	0.1561
udelRun1A         	0.2561	56	umd_hcil_run02    	0.1000	0	0.1561
udelRun1A         	0.2561	56	udelRun3A         	0.0875	27	0.1686
MPII_HYBRID_PW    	0.0944	56	hpclab_pi_algA    	0.1000	2	-0.0056
MPII_HYBRID_PW    	0.0944	56	UWaterlooATEK     	0.0452	28	0.0492
MPII_HYBRID_PW    	0.0944	56	UWaterlooATNDEK   	0.0452	32	0.0492
MPII_HYBRID_PW    	0.0944	56	udelRun2A         	0.2261	36	-0.1317
