hpclab_pi_algA    	0.0000	26	udelRun2A         	0.0000	15	0.0000
hpclab_pi_algA    	0.0000	26	udelRun1A         	0.0955	33	-0.0955
hpclab_pi_algA    	0.0000	26	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	26	prnaTaskA3        	0.0000	9	0.0000
hpclab_pi_algA    	0.0000	26	prnaTaskA2        	0.0154	11	-0.0154
hpclab_pi_algA    	0.0000	26	prnaTaskA1        	0.3458	76	-0.3458
hpclab_pi_algA    	0.0000	26	umd_hcil_run02    	0.0000	9	0.0000
hpclab_pi_algA    	0.0000	26	udelRun3A         	0.1234	35	-0.1234
UWaterlooATEK     	0.1115	36	hpclab_pi_algA    	0.0000	26	0.1115
UWaterlooATEK     	0.1115	36	UWaterlooATNDEK   	0.1517	45	-0.0402
UWaterlooATEK     	0.1115	36	udelRun2A         	0.0000	15	0.1115
UWaterlooATEK     	0.1115	36	udelRun1A         	0.0955	33	0.0160
UWaterlooATEK     	0.1115	36	umd_hcil_run01    	0.0000	0	0.1115
UWaterlooATEK     	0.1115	36	prnaTaskA3        	0.0000	9	0.1115
UWaterlooATEK     	0.1115	36	prnaTaskA2        	0.0154	11	0.0961
UWaterlooATEK     	0.1115	36	prnaTaskA1        	0.3458	76	-0.2343
UWaterlooATEK     	0.1115	36	umd_hcil_run02    	0.0000	9	0.1115
UWaterlooATEK     	0.1115	36	udelRun3A         	0.1234	35	-0.0119
UWaterlooATNDEK   	0.1517	45	hpclab_pi_algA    	0.0000	26	0.1517
UWaterlooATNDEK   	0.1517	45	udelRun2A         	0.0000	15	0.1517
UWaterlooATNDEK   	0.1517	45	udelRun1A         	0.0955	33	0.0562
UWaterlooATNDEK   	0.1517	45	umd_hcil_run01    	0.0000	0	0.1517
UWaterlooATNDEK   	0.1517	45	prnaTaskA3        	0.0000	9	0.1517
UWaterlooATNDEK   	0.1517	45	prnaTaskA2        	0.0154	11	0.1363
UWaterlooATNDEK   	0.1517	45	prnaTaskA1        	0.3458	76	-0.1941
UWaterlooATNDEK   	0.1517	45	umd_hcil_run02    	0.0000	9	0.1517
UWaterlooATNDEK   	0.1517	45	udelRun3A         	0.1234	35	0.0283
udelRun2A         	0.0000	15	umd_hcil_run01    	0.0000	0	0.0000
udelRun2A         	0.0000	15	umd_hcil_run02    	0.0000	9	0.0000
udelRun2A         	0.0000	15	udelRun3A         	0.1234	35	-0.1234
udelRun1A         	0.0955	33	udelRun2A         	0.0000	15	0.0955
udelRun1A         	0.0955	33	umd_hcil_run01    	0.0000	0	0.0955
udelRun1A         	0.0955	33	umd_hcil_run02    	0.0000	9	0.0955
udelRun1A         	0.0955	33	udelRun3A         	0.1234	35	-0.0279
MPII_HYBRID_PW    	0.0730	48	hpclab_pi_algA    	0.0000	26	0.0730
MPII_HYBRID_PW    	0.0730	48	UWaterlooATEK     	0.1115	36	-0.0385
MPII_HYBRID_PW    	0.0730	48	UWaterlooATNDEK   	0.1517	45	-0.0787
MPII_HYBRID_PW    	0.0730	48	udelRun2A         	0.0000	15	0.0730
MPII_HYBRID_PW    	0.0730	48	udelRun1A         	0.0955	33	-0.0225
MPII_HYBRID_PW    	0.0730	48	umd_hcil_run01    	0.0000	0	0.0730
MPII_HYBRID_PW    	0.0730	48	prnaTaskA3        	0.0000	9	0.0730
MPII_HYBRID_PW    	0.0730	48	prnaTaskA2        	0.0154	11	0.0576
MPII_HYBRID_PW    	0.0730	48	prnaTaskA1        	0.3458	76	-0.2728
MPII_HYBRID_PW    	0.0730	48	SNACSA            	0.0000	0	0.0730
MPII_HYBRID_PW    	0.0730	48	PKUICSTRunA3      	0.1426	56	-0.0696
MPII_HYBRID_PW    	0.0730	48	PKUICSTRunA2      	0.2820	88	-0.2090
